,SECTORID,SECTORNAME,STARTIC,ENDIC,LENGTH,LANENO,INTDIR,GROUPID,LANELENGTH,MODEL,CMSDESC,STATUS,TRAVELTIME,CAPACITY,START_X,START_Y,END_X,END_Y
670,L15304,台1線(柳營外環道->柳營路336巷),I1529,I1530,433,2,0,0,7,十字型,0,y,10,10,120.313423,23.269178,0.0,0.0
671,L28811,台1線(柳營外環道->新榮中學),I1529,I2881,275,2,0,0,7,十字型,0,y,10,10,120.313423,23.269178,0.0,0.0
672,L15295,台1線(新榮中學->柳營外環道),I2881,I1529,280,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.313423,23.269178
673,L31501,台1線(新榮中學->台1線295K+50),I2881,I3150,174,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
674,L28815,台1線(台1線295K+50->新榮中學),I3150,I2881,173,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
675,L15270,台1線(台1線295K+50->鳳和中學),I3150,I1527,1410,2,0,0,7,十字型,0,y,10,10,,,120.325235,23.279179
676,L31505,台1線(鳳和中學->台1線295K+50),I1527,I3150,1400,2,0,0,7,十字型,0,y,10,10,120.325235,23.279179,,
677,L31510,台1線(鳳和中學->奇美停車場門口),I1527,I3151,1017,2,0,0,7,十字型,0,y,10,10,120.325235,23.279179,,
678,L15274,台1線(奇美停車場門口->鳳和中學),I3151,I1527,1016,2,0,0,7,十字型,0,y,10,10,,,120.325235,23.279179
679,L22650,台1線(奇美停車場門口->奇美急診門口),I3151,I2265,125,2,0,0,7,十字型,0,y,10,10,,,120.32593,23.289624
680,L31514,台1線(奇美急診門口->奇美停車場門口),I2265,I3151,126,2,0,0,7,十字型,0,y,10,10,120.32593,23.289624,,
681,L22640,台1線(奇美急診門口->義士路),I2265,I2264,167,2,0,0,7,十字型,0,y,10,10,120.32593,23.289624,120.325655,23.291220000000003
682,L22654,台1線(義士路->奇美急診門口),I2264,I2265,165,2,0,0,7,十字型,0,y,10,10,120.325655,23.291220000000003,120.32593,23.289624
683,L31527,台1線(義士路->台1線 291K+90),I2264,I3152,1194,2,0,0,7,十字型,0,y,10,10,120.325655,23.291220000000003,,
684,L22643,台1線(台1線 291K+90->義士路),I3152,I2264,1194,2,0,0,7,十字型,0,y,10,10,,,120.325655,23.291220000000003
685,L31530,台1線(台1線 291K+90->台1線 290K+950),I3152,I3153,115,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
686,L31524,台1線(台1線 290K+950->台1線 291K+90),I3153,I3152,119,2,0,0,7,十字型,0,y,10,10,0.0,0.0,,
687,L31541,台1線(台1線 290K+950->南100鄉道),I3153,I3154,822,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
688,L31535,台1線(南100鄉道->台1線 290K+950),I3154,I3153,824,2,0,0,7,十字型,0,y,10,10,0.0,0.0,0.0,0.0
689,L31616,永科七路(永科王田大道->永科環路),I3165,I3161,340,2,0,0,7,十字型,0,y,10,10,120.279284,23.037457,,
690,L31642,永科環路(永科七路->永科王田大道),I3161,I3164,493,2,0,0,7,十字型,0,y,10,10,,,120.279876,23.035664
691,L31610,永科環路(永科王田大道->永科七路),I3164,I3161,482,2,0,0,7,十字型,0,y,10,10,120.279876,23.035664,,
692,L31652,永科七路(永科環路->永科王田大道),I3161,I3165,340,2,0,0,7,十字型,0,y,10,10,,,120.279284,23.037457
693,L31710,永科環路(永科七路->永科五路),I3161,I3171,228,2,0,0,7,十字型,0,y,10,10,,,120.275447,23.038565
